"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_xianyu_prompt_keeps_required_sections","tests.unit","2026-09-22","passed","2026-09-22","","test_xianyu_prompt_config","",""
"enabled:false 时应跳过","1","test_generate_disabled_skips","tests.unit","2026-09-22","passed","2026-09-22","","test_image_generator_unit","",""
"75-89 分为良好","0","test_grade_good","tests.unit","2026-09-22","passed","2026-09-22","","test_quality_checker","",""
"转义 > 符号","0","test_escapes_greater_than","tests.unit","2026-09-22","passed","2026-09-22","TestEscapeHtml","test_pdf_generator","",""
"阶段失败时流水线停止后续阶段","1","test_pipeline_stops_on_stage_failure","tests.integration","2026-09-22","passed","2026-09-22","TestErrorPropagation","test_error_propagation","",""
"绝对长度过短（但非空）应保留翻译，不重试","1","test_too_short_absolute_keeps_translated","tests.unit","2026-09-22","passed","2026-09-22","","test_quality_check_optimization","",""
"从 body_html 中提取副标题","1","test_playwright_html_extracts_subtitle_from_body","tests.unit","2026-09-22","passed","2026-09-22","TestBuildPlaywrightHtml","test_pdf_generator","",""
"","8","test_book_output_has_main_image_count","tests.unit","2026-09-22","passed","2026-09-22","TestMainImageCount","test_main_image_db","",""
"验证翻译 stats 写入临时 JSON 文件后能正确读回","4","test_write_and_read_stats","tests.unit","2026-09-22","passed","2026-09-22","TestTempStatsBridge","test_temp_stats_bridge","",""
"验证 _create_pdf_fallback 调用 _add_markdown_to_story","1","test_fallback_calls_add_markdown_to_story","tests.unit","2026-09-22","passed","2026-09-22","TestCreatePdfFallback","test_pdf_generator","",""
"_format_prompt 接受 cover_colors 参数而不崩溃","2","test_prompt_with_cover_colors_parameter","tests.unit","2026-09-22","passed","2026-09-22","TestFormatPrompt","test_image_generator","",""
"移除斜体标记","1","test_removes_italic_markers","tests.unit","2026-09-22","passed","2026-09-22","TestParseMarkdownLines","test_pdf_generator","",""
"验证质量检查在翻译完成后被调用","1","test_quality_checker_called_after_translation","tests.unit","2026-09-22","passed","2026-09-22","","test_quality_checker","",""
"Formatted prompt should contain the design_plan text","2","test_includes_design_plan","tests.unit","2026-09-22","passed","2026-09-22","TestFormatHtmlPrompt","test_image_generator","",""
"验证只有部分字段的 stats 文件仍然有效","4","test_partial_stats_still_valid","tests.unit","2026-09-22","passed","2026-09-22","TestTempStatsBridge","test_temp_stats_bridge","",""
"验证 get_token_summary 正确聚合","8","test_get_token_summary_aggregates_correctly","tests.integration","2026-09-22","passed","2026-09-22","TestTokenTracking","test_token_tracking","",""
"验证封面 HTML 被包含在结果中","0","test_builds_html_with_cover","tests.unit","2026-09-22","passed","2026-09-22","TestBuildWeasyprintHtml","test_pdf_generator","",""
"WeasyPrint 失败时回退到 Playwright","1","test_create_weasyprint_fails_then_playwright_success","tests.unit","2026-09-22","passed","2026-09-22","TestCreateMethod","test_pdf_generator","",""
"应返回包含所有步骤的格式化字符串","2593","test_returns_formatted_string_with_all_steps","tests.unit","2026-09-22","passed","2026-09-22","TestFormatTokenSummary","test_stats_command","",""
"验证质量检查默认开启","2","test_quality_check_enabled_by_default","tests.unit","2026-09-22","passed","2026-09-22","","test_quality_checker","",""
"PDF 文件不存在","0","test_pdf_toc_checker_no_pdf","tests.unit","2026-09-22","passed","2026-09-22","","test_quality_checker","",""
"通过 Pipeline 测试主图生成阶段失败","10","test_image_generation_stage_failure_via_pipeline","tests.integration","2026-09-22","passed","2026-09-22","TestErrorPropagation","test_error_propagation","",""
"空文本","1","test_fluency_empty_text","tests.unit","2026-09-22","passed","2026-09-22","","test_quality_checker","",""
"优质中文翻译","0","test_fluency_good_chinese","tests.unit","2026-09-22","passed","2026-09-22","","test_quality_checker","",""
"源文档没有段落","0","test_completeness_empty_source","tests.unit","2026-09-22","passed","2026-09-22","","test_quality_checker","",""
"验证 _create_pdf_weasyprint 方法存在","1","test_weasyprint_method_exists","tests.unit","2026-09-22","passed","2026-09-22","TestCreatePdfWeasyprint","test_pdf_generator","",""
"读取封面文件失败时返回空字符串","2","test_handles_read_error_gracefully","tests.unit","2026-09-22","passed","2026-09-22","TestBuildCoverHtml","test_pdf_generator","",""
"Prompt should include book info","1","test_prompt_contains_title_and_author","tests.unit","2026-09-22","passed","2026-09-22","TestFormatPrompt","test_image_generator","",""
"验证提示词包含 {title} {summary} 占位符","0","test_image_generator_has_prompt","tests.unit","2026-09-22","passed","2026-09-22","","test_main_image_config","",""
"包含遗留英文单词","1","test_fluency_mixed_english","tests.unit","2026-09-22","passed","2026-09-22","","test_quality_checker","",""
"republish-failed --all --auto 重新发布所有失败书籍","30","test_republish_failed_command_retries_all","tests.integration","2026-09-22","passed","2026-09-22","","test_republish_failed","",""
"验证 width=800 height=800","1","test_image_generator_has_dimensions","tests.unit","2026-09-22","passed","2026-09-22","","test_main_image_config","",""
"PNG 封面返回正确的 MIME 类型","1","test_png_cover_returns_correct_mime_type","tests.unit","2026-09-22","passed","2026-09-22","TestBuildCoverHtml","test_pdf_generator","",""
"转换粗体","0","test_converts_bold_text","tests.unit","2026-09-22","passed","2026-09-22","TestMarkdownToHtml","test_pdf_generator","",""
"","0","test_default_skip_flags","tests.unit","2026-09-22","passed","2026-09-22","TestPipelineContext","test_pipeline","",""
"测试 run_pipeline 创建正确的上下文","4","test_run_pipeline_creates_correct_context","tests.unit","2026-09-22","passed","2026-09-22","TestRunPipelineFunction","test_pipeline","",""
"测试 TranslationStage 执行后填充 context","400","test_translation_stage_creates_context_result","tests.unit","2026-09-22","passed","2026-09-22","TestStageExecution","test_pipeline","",""
"创建有效的 EPUB 文件","4","test_creates_valid_epub_file","tests.unit","2026-09-22","passed","2026-09-22","TestCreateMiniEpub","test_pdf_generator","",""
"","1","test_translation_stage_skips_when_flag_set","tests.unit","2026-09-22","passed","2026-09-22","TestStageShouldSkip","test_pipeline","",""
"None 应返回提示信息","0","test_handles_none","tests.unit","2026-09-22","passed","2026-09-22","TestFormatTokenSummary","test_stats_command","",""
"Replaces all occurrences, not just the first","1","test_replaces_multiple_placeholders","tests.unit","2026-09-22","passed","2026-09-22","TestCoverImageInjection","test_image_generator","",""
"","8","test_update_main_image_count","tests.unit","2026-09-22","passed","2026-09-22","TestMainImageCount","test_main_image_db","",""
"段落数量不匹配","0","test_format_paragraphs_mismatch","tests.unit","2026-09-22","passed","2026-09-22","","test_quality_checker","",""
"报告可正确序列化为 JSON","0","test_report_to_json","tests.unit","2026-09-22","passed","2026-09-22","","test_quality_checker","",""
"无记录时应显示提示","1","test_stats_command_no_records","tests.unit","2026-09-22","passed","2026-09-22","TestStatsCommand","test_stats_command","",""
"config 缺新字段时,默认值应为 device_scale_factor=2, quality=92","5","test_screenshot_defaults_when_config_missing","tests.unit","2026-09-22","passed","2026-09-22","","test_image_generator_clarity","",""
"验证 generate_xiaohongshu_note 返回 (text, usage) 元组","0","test_generate_xiaohongshu_note_returns_tuple","tests.unit","2026-09-22","passed","2026-09-22","TestAIClientChatReturnsTuple","test_ai_client_tokens","",""
"stats 命令应调用 format_token_summary 并显示结果","3","test_stats_command_displays_summary","tests.unit","2026-09-22","passed","2026-09-22","TestStatsCommand","test_stats_command","",""
"应记录闲鱼和小红书两者的 token 使用","2","test_generate_records_both_token_usages","tests.unit","2026-09-22","passed","2026-09-22","TestAICopywriterTokenRecording","test_ai_copywriter_tokens","",""
"空缓存","1","test_terminology_empty_cache","tests.unit","2026-09-22","passed","2026-09-22","","test_quality_checker","",""
"测试 ImageGenerationStage 执行不出错","12","test_image_stage_executes_without_error","tests.integration","2026-09-22","passed","2026-09-22","TestMainImageIntegration","test_main_image_integration","",""
"正常文件名（不变）","2","test_normal_name","tests.unit","2026-09-22","passed","2026-09-22","TestFilenameNormalization","test_directory_scanner","",""
"转换斜体","1","test_converts_italic_text","tests.unit","2026-09-22","passed","2026-09-22","TestMarkdownToHtml","test_pdf_generator","",""
"WeasyPrint 和 Playwright 都失败时回退到 ReportLab","1","test_create_weasyprint_and_playwright_fails_then_reportlab","tests.unit","2026-09-22","passed","2026-09-22","TestCreateMethod","test_pdf_generator","",""
"所有段落完整翻译，译文长度合理","0","test_fidelity_all_translated","tests.unit","2026-09-22","passed","2026-09-22","","test_quality_checker","",""
"处理 Mermaid 图表","1","test_handles_mermaid_diagram","tests.unit","2026-09-22","passed","2026-09-22","TestMarkdownToHtml","test_pdf_generator","",""
"异常时输出失败标记但不吞掉异常","0","test_phase_exception_outputs_failure","tests.unit","2026-09-22","passed","2026-09-22","","test_progress","",""
"没有缓存数据","1","test_completeness_no_cache","tests.unit","2026-09-22","passed","2026-09-22","","test_quality_checker","",""
"验证多次 API 调用累计 token 计数","1","test_multiple_calls_accumulate_tokens","tests.unit","2026-09-22","passed","2026-09-22","TestTranslatorStats","test_translator_stats","",""
"阶段失败时 ProcessingLog 被写入

        注意：当通过 mock translate_book 返回 False 时，TranslationProcessor.process()
        内部的 add_log 不会被执行（因为整个函数被 mock 了）。
        真实的 'error' 日志只有在 translate_book 真实执行并返回 False 时才会写入。
        这里我们验证 start 日志被写入，以及 ctx.status/error 状态被正确设置。
        ","10","test_processing_log_written_on_failure","tests.integration","2026-09-22","passed","2026-09-22","TestErrorPropagation","test_error_propagation","",""
"list-failed 命令输出含失败书名 + 提示运行 republish-failed","439","test_list_failed_command_shows_failed_books","tests.integration","2026-09-22","passed","2026-09-22","","test_republish_failed","",""
"NCX 限制最多 20 个项目","0","test_ncx_limits_to_20_items","tests.unit","2026-09-22","passed","2026-09-22","TestBuildTocNcx","test_pdf_generator","",""
"代码块内容应被跳过","0","test_handles_code_blocks","tests.unit","2026-09-22","passed","2026-09-22","TestParseMarkdownLines","test_pdf_generator","",""
"验证 generate_xianyu_listing 返回 (text, usage) 元组","1","test_generate_xianyu_listing_returns_tuple","tests.unit","2026-09-22","passed","2026-09-22","TestAIClientChatReturnsTuple","test_ai_client_tokens","",""
"翻译 API 全部返回空时，translate_epub 返回 success=False","3","test_translate_epub_empty_translation_detection","tests.integration","2026-09-22","passed","2026-09-22","","test_translation_pipeline","",""
"日期格式已适配中文","1","test_cultural_well_adapted","tests.unit","2026-09-22","passed","2026-09-22","","test_quality_checker","",""
"
        AST 检查：cover 相关且含 output_dir 且含 '/' 的行，必须也含 meta_dir 或 .stem
        ","4","test_summarize_no_cover_in_book_dir","tests.unit","2026-09-22","passed","2026-09-22","TestContentSummarizerCover","test_copywriting_bugs","",""
"译文为空字符串的情况","1","test_completeness_empty_translated","tests.unit","2026-09-22","passed","2026-09-22","","test_quality_checker","",""
"generate 应在 usage 为空时跳过记录","2","test_generate_handles_missing_usage","tests.unit","2026-09-22","passed","2026-09-22","TestSummaryAIGeneratorTokenRecording","test_content_summarizer_tokens","",""
"验证 _create_pdf_reportlab 方法存在","1","test_reportlab_method_exists","tests.unit","2026-09-22","passed","2026-09-22","TestCreatePdfWeasyprint","test_pdf_generator","",""
"验证长文本处理","6","test_translation_cache_long_text","tests.integration","2026-09-22","passed","2026-09-22","TestTranslationCache","test_translation_cache","",""
"部分段落缺失翻译","1","test_completeness_partial_missing","tests.unit","2026-09-22","passed","2026-09-22","","test_quality_checker","",""
"质量问题日志应为 INFO 而非 WARNING（通过不报错验证）","1","test_quality_log_level_is_info","tests.unit","2026-09-22","passed","2026-09-22","","test_quality_check_optimization","",""
"XianyuPublisher.publish() 失败时回写 BookOutput.publish_status='failed' 和 publish_error","18","test_publish_failure_writes_publish_status_failed","tests.integration","2026-09-22","passed","2026-09-22","","test_republish_failed","",""
"超长（无 --），截断至60字符","4","test_long_name_no_dash","tests.unit","2026-09-22","passed","2026-09-22","TestFilenameNormalization","test_directory_scanner","",""
"耗时 < 60 秒显示为 Xs","52","test_phase_outputs_duration_format_seconds","tests.unit","2026-09-22","passed","2026-09-22","","test_progress","",""
"转义 < 符号","0","test_escapes_less_than","tests.unit","2026-09-22","passed","2026-09-22","TestEscapeHtml","test_pdf_generator","",""
"存在英文日期格式","0","test_cultural_western_dates","tests.unit","2026-09-22","passed","2026-09-22","","test_quality_checker","",""
"场景1：移动 EPUB 文件 — 3 个 epub 应全部移至已处理/","12","test_move_epub_files","tests.integration","2026-09-22","passed","2026-09-22","TestFileMoving","test_file_moving","",""
"验证 _create_pdf_fallback 方法存在","1","test_fallback_method_exists","tests.unit","2026-09-22","passed","2026-09-22","TestCreatePdfFallback","test_pdf_generator","",""
"验证 Token 数量为正整数","7","test_token_usage_positive_integers","tests.integration","2026-09-22","passed","2026-09-22","TestTokenTracking","test_token_tracking","",""
"应正确显示费用","3","test_displays_cost_correctly","tests.unit","2026-09-22","passed","2026-09-22","TestFormatTokenSummary","test_stats_command","",""
"mock AI生成返回 None，验证摘要未保存","9","test_summary_not_saved_when_generate_returns_none","tests.integration","2026-09-22","passed","2026-09-22","TestSummarySave","test_summary_save","",""
"验证文件不存在时不会报错","0","test_missing_file_returns_none","tests.unit","2026-09-22","passed","2026-09-22","TestTempStatsBridge","test_temp_stats_bridge","",""
"转换引用","1","test_converts_blockquote","tests.unit","2026-09-22","passed","2026-09-22","TestMarkdownToHtml","test_pdf_generator","",""
"术语翻译错误","0","test_terminology_wrong","tests.unit","2026-09-22","passed","2026-09-22","","test_quality_checker","",""
"","1","test_generate_xianyu_listing_handles_missing_summary","tests.unit","2026-09-22","passed","2026-09-22","","test_ai_client_summary","",""
"空翻译应保留原文，不重试","1","test_empty_translation_keeps_original","tests.unit","2026-09-22","passed","2026-09-22","","test_quality_check_optimization","",""
"WeasyPrint 成功时生成 PDF","2","test_create_weasyprint_success","tests.unit","2026-09-22","passed","2026-09-22","TestCreateMethod","test_pdf_generator","",""
"HTML 包含必要的样式","1","test_html_contains_necessary_styles","tests.unit","2026-09-22","passed","2026-09-22","TestBuildWeasyprintHtml","test_pdf_generator","",""
"处理行内代码","1","test_handles_inline_code","tests.unit","2026-09-22","passed","2026-09-22","TestMarkdownToHtml","test_pdf_generator","",""
"验证文案文件包含必要字段","17","test_copywriting_files_contain_expected_fields","tests.integration","2026-09-22","passed","2026-09-22","TestMainSummaryFlow","test_main_summary_flow","",""
"同一英文术语始终翻译一致","0","test_consistency_perfect","tests.unit","2026-09-22","passed","2026-09-22","","test_quality_checker","",""
"译文为空字符串","1","test_fidelity_empty_translation","tests.unit","2026-09-22","passed","2026-09-22","","test_quality_checker","",""
"
        AST 检查：shutil.copy2 调用行必须包含 'meta_dir'
        ","1","test_write_copywriting_no_cover_copy","tests.unit","2026-09-22","passed","2026-09-22","TestMetadataWriter","test_copywriting_bugs","",""
"提取一级标题","1","test_extracts_h1","tests.unit","2026-09-22","passed","2026-09-22","TestExtractTocFromMarkdown","test_pdf_generator","",""
"测试 get_token_usage 无 book_id 返回全部","4","test_get_token_usage_all","tests.unit","2026-09-22","passed","2026-09-22","TestDatabaseManagerTokenMethods","test_token_usage","",""
"Prompt should not be extremely large","2","test_prompt_is_reasonable_length","tests.unit","2026-09-22","passed","2026-09-22","TestFormatPrompt","test_image_generator","",""
"仅尾随空格","3","test_trailing_spaces","tests.unit","2026-09-22","passed","2026-09-22","TestFilenameNormalization","test_directory_scanner","",""
